Year,NEP,GPP,NPP,RH,estabc,negc_fluxes,firec,area,harvestc,prod_turnoverc,NBP,transp,evap,interc,wd,prec,SoilC,SoilC_slow,LitC,VegC,ProductC,nuptake,ndemand,nlosses,ninflux,estabn,negn_fluxes,firen,harvestN,prod_turnovern,SoilN,SoilN_slow,LitN,VegN,ProductN,estab_storageC,estab_storageN
(AD),(1e+15 gC/yr),(1e+15 gC/yr),(1e+15 gC/yr),(1e+15 gC/yr),(1e+15 gC/yr),(1e+15 gC/yr),(1e+15 gC/yr),(m2),(1e+15 gC/yr),(1e+15 gC/yr),(1e+15 gC/yr),(1e+15 dm3/yr),(1e+15 dm3/yr),(1e+15 dm3/yr),(1e+15 dm3/yr),(1e+15 dm3/yr),(1e+15 gC),(1e+15 gC),(1e+15 gC),(1e+15 gC),(1e+15 gC),(1e+15 gN/yr),(1e+15 gN/yr),(1e+15 gN/yr),(1e+15 gN/yr),(1e+15 gN/yr),(1e+15 gN/yr),(1e+15 gN/yr),(1e+15 gN/yr),(1e+15 gN/yr),(1e+15 gN),(1e+15 gN),(1e+15 gN),(1e+15 gN),(1e+15 gN),(1e+15 gC),(1e+15 gN)
1509,-7.46226e-05,0.00529314,0.00313568,0.0032103,1.80911e-05,0,7.11007e-05,9.32325e+08,0.000172815,3.52569e-11,-0.000297715,0.00256768,0.00054095,0.000176501,3.36661e-07,0.00390322,0.0742151,0.0263382,0.00229039,0.00324279,1.2497e-09,5.11096e-05,1.5879e-05,1.35e-05,1.03133e-05,6.32859e-07,0,7.61092e-07,5.75688e-06,7.21279e-14,0.004434,0.00163548,4.21496e-05,0.00010691,2.55661e-12,0.00141109,0.000141109
1510,6.8e-05,0.00547408,0.00324358,0.00317558,1.79757e-05,0,4.14073e-05,9.2917e+08,0.000165899,3.26636e-11,-0.000118609,0.00273215,0.000510887,0.000246091,3.70191e-07,0.00487015,0.0741955,0.026337,0.00221192,0.0032222,1.21704e-09,5.0433e-05,1.55371e-05,1.26114e-05,1.06368e-05,6.29235e-07,0,4.39692e-07,5.87962e-06,6.68226e-14,0.00443074,0.00163539,4.02991e-05,0.000104767,2.48979e-12,0.00141109,0.000141109
1511,-3.05823e-05,0.00524899,0.00311901,0.0031496,1.79324e-05,0,3.08709e-05,9.26015e+08,0.000170804,3.03203e-11,-0.000211613,0.00274858,0.000524138,0.00019103,3.85554e-07,0.00405584,0.0739816,0.0263355,0.00209587,0.00334057,1.18672e-09,4.91914e-05,1.51977e-05,1.30504e-05,1.05367e-05,6.27443e-07,0,3.18292e-07,5.77924e-06,6.20287e-14,0.00442149,0.00163529,3.667e-05,0.000109778,2.42776e-12,0.00141109,0.000141109
1512,0.000239763,0.00580695,0.00331479,0.00307502,1.78788e-05,0,1.52519e-05,9.22859e+08,0.000176853,2.82021e-11,6.82393e-05,0.0030451,0.00052164,0.000326999,5.07129e-07,0.00700985,0.0741455,0.026333,0.0022496,0.00309118,1.15851e-09,5.21385e-05,1.80359e-05,1.05624e-05,1.12043e-05,6.25671e-07,0,1.72585e-07,5.36916e-06,5.76953e-14,0.00442063,0.0016351,4.16164e-05,0.000101918,2.37007e-12,0.00141109,0.000141109
1513,-0.000110332,0.00517721,0.00296368,0.00307401,1.78454e-05,-5.08529e-08,3.28646e-05,9.19695e+08,0.000152782,2.62866e-11,-0.00027539,0.00254953,0.000391974,0.000156404,7.46197e-07,0.00364101,0.0737364,0.0263306,0.00220597,0.00326854,1.13223e-09,4.90558e-05,1.19656e-05,9.95334e-06,8.88449e-06,6.24273e-07,-1.09419e-10,3.3803e-07,5.05591e-06,5.37766e-14,0.00440621,0.00163494,3.87908e-05,0.000109369,2.31629e-12,0.00141109,0.000141109
1514,0.000416108,0.00608525,0.0035007,0.00308459,1.77478e-05,0,1.60637e-05,9.1654e+08,0.000143552,2.45536e-11,0.000276922,0.00310509,0.000600706,0.000230277,6.71508e-07,0.00564002,0.0740756,0.0263283,0.00241324,0.00299898,1.10767e-09,5.5198e-05,1.73147e-05,1.00704e-05,1.10625e-05,6.20968e-07,0,1.86876e-07,4.91954e-06,5.02312e-14,0.00441231,0.00163477,4.61479e-05,9.63357e-05,2.26606e-12,0.00141109,0.000141109
1515,-0.000695678,0.00439126,0.00244432,0.00314,1.79445e-05,-3.40769e-08,2.27629e-05,9.13384e+08,0.000178365,2.29849e-11,-0.000876155,0.00217678,0.000410313,0.000142938,6.21463e-07,0.0029119,0.0733643,0.0263268,0.00207976,0.00316762,1.08469e-09,4.29233e-05,8.27149e-06,1.01285e-05,9.02543e-06,6.2735e-07,-7.77257e-11,2.20071e-07,5.95989e-06,4.70221e-14,0.00439152,0.0016347,3.54892e-05,0.000112024,2.21904e-12,0.00141109,0.000141109
1516,-0.00026034,0.00469978,0.00267749,0.00293783,1.77438e-05,-1.05306e-08,0.000199699,9.10229e+08,0.000161253,2.15643e-11,-0.000600876,0.00204657,0.00035004,0.000137869,6.08367e-07,0.00292737,0.0729347,0.0263227,0.00185668,0.00321943,1.06313e-09,5.43018e-05,8.38117e-06,1.12023e-05,8.48692e-06,6.20541e-07,-2.35953e-11,2.01669e-06,5.52474e-06,4.41157e-14,0.00437432,0.00163446,3.16176e-05,0.000126452,2.17492e-12,0.00141109,0.000141109
1517,0.000584046,0.00577805,0.00341297,0.00282892,1.72721e-05,0,5.70801e-05,9.07065e+08,0.000155887,2.02769e-11,0.000391004,0.0026816,0.000480072,0.000152731,6.10781e-07,0.00413564,0.0729756,0.0263171,0.00212815,0.00329802,1.04285e-09,5.42591e-05,1.46558e-05,1.35132e-05,1.0389e-05,6.04722e-07,0,6.44577e-07,5.26302e-06,4.1482e-14,0.00437103,0.00163413,4.00898e-05,0.000118378,2.13344e-12,0.00141109,0.000141109
1518,-5.52791e-05,0.00497471,0.00291481,0.00297009,1.75564e-05,-7.62583e-09,0.000106347,9.0391e+08,0.000158493,1.91095e-11,-0.000299912,0.00230525,0.00043562,0.000150936,7.11551e-07,0.00324772,0.0727186,0.0263136,0.00202029,0.00336295,1.02374e-09,4.84117e-05,1.00454e-05,1.01368e-05,9.43343e-06,6.14113e-07,-1.65541e-11,1.08792e-06,5.00906e-06,3.90939e-14,0.00435872,0.00163392,3.6536e-05,0.00012359,2.09434e-12,0.00141109,0.000141109
