Year,NEP,GPP,NPP,RH,estabc,negc_fluxes,firec,NBP,transp,evap,interc,prec,SoilC,SoilC_slow,LitC,VegC,nuptake,ndemand,nlosses,ninflux,estabn,negn_fluxes,firen,SoilN,SoilN_slow,LitN,VegN
(AD),(1e+15 gC/yr),(1e+15 gC/yr),(1e+15 gC/yr),(1e+15 gC/yr),(1e+15 gC/yr),(1e+15 gC/yr),(1e+15 gC/yr),(1e+15 gC/yr),(1e+15 dm3/yr),(1e+15 dm3/yr),(1e+15 dm3/yr),(1e+15 dm3/yr),(1e+15 gC),(1e+15 gC),(1e+15 gC),(1e+15 gC),(1e+15 gN/yr),(1e+15 gN/yr),(1e+15 gN/yr),(1e+15 gN/yr),(1e+15 gN/yr),(1e+15 gN/yr),(1e+15 gN/yr),(1e+15 gN),(1e+15 gN),(1e+15 gN),(1e+15 gN)
1513,-0.000102852,0.00572216,0.00327476,0.00337762,2.8989e-08,-3.51391e-08,3.80716e-05,-0.00014086,0.00291034,0.000168247,0.000189102,0.00364101,0.076035,0.0263687,0.00253949,0.0040451,5.04178e-05,1.29581e-05,5.38352e-06,8.39365e-06,9.25907e-10,-6.93989e-11,3.75311e-07,0.00451569,0.00163719,4.26551e-05,0.000141178
1514,0.000456589,0.00673384,0.00386109,0.00340451,2.81626e-08,0,1.84351e-05,0.000438182,0.00356275,0.000249082,0.00028126,0.00564002,0.0765799,0.02637,0.00277245,0.00370535,5.72504e-05,1.99402e-05,5.40916e-06,1.07754e-05,9.09743e-10,0,2.09728e-07,0.00453274,0.00163723,5.1455e-05,0.00012504
1515,-0.000823518,0.00477431,0.00264259,0.00346611,5.00724e-07,-2.13971e-08,2.6303e-05,-0.000849299,0.00243806,0.000231765,0.00017254,0.0029119,0.0759855,0.0263721,0.00243923,0.00378376,4.2915e-05,8.45418e-06,5.95051e-06,7.48045e-06,1.66502e-08,-4.88738e-11,2.47294e-07,0.00451931,0.00163738,4.03223e-05,0.000139935
1516,-0.000340258,0.00511249,0.00291456,0.00325482,9.1901e-08,-6.56047e-09,0.000235066,-0.000575226,0.00229063,0.000176644,0.000160383,0.00292737,0.0756214,0.0263714,0.00215911,0.00385274,5.59045e-05,8.79117e-06,8.34228e-06,7.313e-06,3.02319e-09,-1.47213e-11,2.29787e-06,0.00450847,0.00163735,3.55149e-05,0.000155928
1517,0.000601772,0.00630307,0.00372813,0.00312636,-5.05857e-07,-1.51032e-09,6.0573e-05,0.000540694,0.00303812,0.000205889,0.000176104,0.00413564,0.0756716,0.0263689,0.00241135,0.00409099,5.59717e-05,1.63192e-05,1.05427e-05,9.69943e-06,-1.68921e-08,-3.19626e-12,6.45584e-07,0.00450889,0.00163721,4.30997e-05,0.000152356
1518,-8.49504e-05,0.00544812,0.00318296,0.00326791,7.85493e-08,-5.48124e-09,0.00012099,-0.000205857,0.00260609,0.000197697,0.000184685,0.00324772,0.0754867,0.0263684,0.00230621,0.00417512,4.91792e-05,1.08746e-05,6.80342e-06,8.40096e-06,2.57781e-09,-1.19049e-11,1.14161e-06,0.0045005,0.00163719,3.88396e-05,0.000160488
1519,0.000447834,0.0061905,0.00365538,0.00320755,-2.08173e-08,0,6.0875e-05,0.000386938,0.00300064,0.000197548,0.000193646,0.00413564,0.0756977,0.0263672,0.00252172,0.00413558,5.58545e-05,1.64845e-05,9.0314e-06,9.61767e-06,-7.20894e-10,0,6.43453e-07,0.00450412,0.00163712,4.43388e-05,0.00015654
1520,-0.000503603,0.00492753,0.00270811,0.00321171,3.26021e-07,-1.4374e-08,3.34653e-05,-0.000536728,0.00244878,0.00018613,0.000143392,0.00319968,0.0753028,0.026366,0.00251421,0.0040013,5.10219e-05,8.73486e-06,5.71984e-06,7.35459e-06,1.08265e-08,-3.26092e-11,3.14099e-07,0.00448822,0.00163706,4.1271e-05,0.000173212
1521,0.000492433,0.00674713,0.00379629,0.00330386,-2.68249e-07,0,1.73656e-05,0.000474799,0.00346599,0.000249964,0.000272665,0.00564002,0.0757968,0.026366,0.00268997,0.00380626,5.52358e-05,1.92294e-05,5.8015e-06,1.01042e-05,-8.97604e-09,0,2.0673e-07,0.00450911,0.00163706,5.23162e-05,0.00014895
1522,0.0002516,0.00626867,0.00358279,0.00333119,2.88558e-08,-2.65687e-09,4.1579e-05,0.000210053,0.00292536,0.000229884,0.000228542,0.0043985,0.0758918,0.0263664,0.00281528,0.00379599,5.4863e-05,1.51855e-05,5.77169e-06,8.69819e-06,9.12766e-10,-5.74632e-12,4.75893e-07,0.00451554,0.00163709,5.53391e-05,0.000139182
1523,0.000316088,0.00625069,0.00374557,0.00342948,2.79793e-08,-2.34981e-09,7.02922e-05,0.000245826,0.00314799,0.000214179,0.000189595,0.00413564,0.0759973,0.0263681,0.00275208,0.00399951,5.70063e-05,1.71108e-05,8.91749e-06,9.94139e-06,8.97822e-10,-5.1527e-12,7.60017e-07,0.00452121,0.00163721,5.19805e-05,0.000139709
1524,0.000268646,0.00625534,0.00369469,0.00342604,2.79694e-08,-1.43839e-09,6.70853e-05,0.00020159,0.00317882,0.000210412,0.000187551,0.00413564,0.0762629,0.0263697,0.00274106,0.00394657,5.68265e-05,1.69456e-05,6.23972e-06,9.99935e-06,9.07713e-10,-3.02915e-12,7.16825e-07,0.00452896,0.00163731,5.08603e-05,0.000136462
1525,0.000181239,0.00634998,0.00372244,0.0035412,2.80419e-08,0,5.19804e-05,0.000129287,0.00320896,0.000259282,0.000275263,0.00471671,0.0765042,0.0263728,0.00259077,0.00398486,5.54745e-05,1.91931e-05,4.30192e-06,9.91431e-06,9.09201e-10,0,5.44223e-07,0.00453874,0.00163748,4.71898e-05,0.00013382
1526,-0.000164129,0.00551952,0.00327276,0.00343689,6.82212e-08,-3.42247e-09,0.000107287,-0.000271344,0.00266628,0.000199008,0.000176765,0.00324772,0.0763282,0.0263745,0.00241099,0.00406924,5.22489e-05,1.13348e-05,5.98346e-06,8.64856e-06,2.23374e-09,-7.30313e-12,1.06732e-06,0.0045337,0.0016376,4.12417e-05,0.000143152
1527,8.92054e-05,0.00573011,0.00344971,0.00336051,2.4178e-07,0,0.000359073,-0.000269626,0.00271393,0.000142148,0.000417312,0.00753933,0.0762456,0.0263752,0.00213894,0.00415427,5.34591e-05,1.57065e-05,1.15251e-05,8.75741e-06,8.03458e-09,0,3.44798e-06,0.00453047,0.00163765,3.56721e-05,0.000148789
1528,9.70557e-05,0.00569906,0.00336461,0.00326755,-1.78983e-07,-2.98261e-09,0.000110289,-1.34091e-05,0.00298794,0.000182059,0.000198212,0.00413148,0.0760459,0.0263746,0.00217428,0.00430522,4.96481e-05,1.64804e-05,1.115e-05,9.22942e-06,-6.00729e-09,-6.06241e-12,1.03379e-06,0.00452031,0.0016376,3.46714e-05,0.000157187
